years,value,prev_return,exp_return,Sector,Name,period,revenueGrowth,grossProfitGrowth,ebitgrowth,operatingIncomeGrowth,netIncomeGrowth,epsgrowth,epsdilutedGrowth,weightedAverageSharesGrowth,weightedAverageSharesDilutedGrowth,dividendsperShareGrowth,operatingCashFlowGrowth,freeCashFlowGrowth,tenYRevenueGrowthPerShare,fiveYRevenueGrowthPerShare,threeYRevenueGrowthPerShare,tenYOperatingCFGrowthPerShare,fiveYOperatingCFGrowthPerShare,threeYOperatingCFGrowthPerShare,tenYNetIncomeGrowthPerShare,fiveYNetIncomeGrowthPerShare,threeYNetIncomeGrowthPerShare,tenYShareholdersEquityGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,threeYShareholdersEquityGrowthPerShare,tenYDividendperShareGrowthPerShare,fiveYDividendperShareGrowthPerShare,threeYDividendperShareGrowthPerShare,receivablesGrowth,inventoryGrowth,assetGrowth,bookValueperShareGrowth,debtGrowth,rdexpenseGrowth,sgaexpensesGrowth
2018,176.98450429815995,0.0363144315962975,-0.1894661185587928,Industrials,MMM,FY,0.035000157942951,0.0272738886050076,-0.078388746803069,-0.078388746803069,0.1010703993412927,0.1180811808118079,0.1210592686002523,-0.0150627615062761,-0.01746368532724,0.1565575904685203,0.0318910256410256,-0.0010273268954181,0.5405545085937334,0.2297977603900925,0.1505106377891328,0.6876704975370835,0.2826069372444083,0.0661877046294899,0.836755933818221,0.3303138442819854,0.1765383169131928,0.1781232952712528,-0.3514621608483245,-0.1105606576801286,1.7136054297740553,1.138587572008781,0.3253775590129306,0.0283018867924528,0.0823004462072384,-0.0391449706478532,-0.1398589133549419,0.0482471861782206,-0.0156756756756756,0.1456177723676202
2019,143.4519372237356,-0.1894661185587928,0.0296632801817955,Industrials,MMM,FY,-0.0191973142072333,-0.0673381831747808,-0.396003885111697,-0.396003885111697,-0.1456346980744064,-0.1287128712871287,-0.1214848143982003,-0.0195412064570943,-0.0280730897009966,0.0592202071146752,0.0979965833203913,0.1046894282188399,0.6872520559368628,0.1362677830065134,0.1185609213157532,0.7371482628464758,0.2005235402157668,0.1121898847390747,0.7375992001567553,0.0374987935426204,-0.0516056077011514,-0.0368732304406839,-0.1308973831332622,0.0305028352664261,1.8132427905489608,0.6836331329107985,0.297681474185319,-0.0648057778645325,-0.0531378836463582,0.2235342465753424,0.0542893042326899,0.4061003966625632,0.0494233937397034,-0.0664098817904104
2020,147.70719223022462,0.0296632801817955,0.1544376603989825,Industrials,MMM,FY,0.0014936519790888,0.0386,0.027337468412589,0.027337468412589,0.1781181619256017,0.1767676767676768,0.1843790012804098,0.0010398613518197,-0.0049564177063749,0.0206515709946569,0.1475247524752475,0.2310556693353193,0.4915431010676176,0.1514359066234761,0.051673639636488,0.9375082650092568,0.368724381046073,0.3449545588731443,0.6285515211723179,0.206584693299127,0.1464583079114438,0.0201068784649251,0.1962417439315117,0.1568373744652624,1.7908767313019391,0.4328587452313143,0.2503483604329749,-0.0179503235232728,0.025399129172714,0.0601222597908596,0.2756831444573993,-0.0733949416342412,-0.0172684458398744,-0.014226774790155
2021,170.51874542236328,0.1544376603989825,-0.338100244860982,Industrials,MMM,FY,0.0985272184936614,0.0629693818601964,0.2195885509838998,0.2195885509838998,0.0997399702823179,0.0976394849785407,0.0940540540540539,0.0024238227146814,0.0053246307110958,0.0070043004569617,-0.0812276593122149,-0.1150937689050211,0.4610297461575597,0.2263541774041362,0.0967523477361553,0.7261871142262822,0.1685469465931851,0.1766271541000825,0.6916412922196723,0.2245177585116024,0.1250980361767618,0.1996167751994246,0.5331128736703239,0.5685007838665248,1.691268347133599,0.3337576955968221,0.0886670810013484,-0.0095642933049946,0.1759849020995517,-0.0057451841838458,0.1662243962875092,-0.074799223137893,0.0617678381256656,0.0386780199162938
2022,112.8663158416748,-0.338100244860982,,Industrials,MMM,FY,-0.0318483948522132,-0.0943840579710145,-1.0363036303630364,-1.0363036303630364,-0.0243202161796993,-0.0019550342130986,0.0059288537549407,-0.0224525043177892,-0.0302409021014864,0.0077134089641063,-0.2499329219211161,-0.3433601093830114,0.4032833866960846,0.1414211974620633,0.0858298455064209,0.2932845189679311,-0.0541410426293378,-0.1938247509758549,0.5937080766380525,0.2553543606626058,0.288681367962824,0.0303045504124172,0.3484394448113256,0.4869691358843241,1.5261766136091028,0.2688181768902323,0.0357283670137718,-0.0274678111587982,0.0776328986960882,-0.0131075798776342,-0.0005133106644497,-0.0809032111653239,-0.066198595787362,0.2573294428233986
2018,53.09881953189248,0.0128097185649356,-0.1502079988277892,Industrials,AOS,FY,0.0638035172022558,0.0539275046419633,0.0599423631123919,0.0599423631123919,0.4981450252951096,0.5293622121096327,0.5176470588235295,-0.0204119661572056,-0.013808310185848,0.3705978560834417,0.3753063725490196,0.5663221360895779,0.4826965142675673,0.6061654277893451,0.3146417682217736,3.5143171355124165,0.7422216041911845,0.3634024369686113,4.814258242220259,1.840453398075937,0.6424161622168973,1.8710726562277828,0.4022786332760218,0.2452377984372199,5.254204796038112,2.314046928757221,1.007174847197373,0.0817179144385026,0.0463598901098901,-0.0393456979326306,0.0630626139158043,-0.4605263157894737,0.0,0.049568365357839
2019,45.12295210988898,-0.1502079988277892,0.0718631709539989,Industrials,AOS,FY,-0.0612315317293516,-0.0955955572577556,-0.1243429400036251,-0.1243429400036251,-0.1670418730301666,-0.1520114175605562,-0.1395348837209301,-0.0161079966937035,-0.0318425903341579,0.1655853916768665,0.0162619737135219,0.0772614792411328,0.1806305110193168,0.372730282223887,0.1680425036680331,0.3393691806532983,0.8681562941116374,0.0708332906284969,2.575545492790713,0.924214564745029,0.1879655333058568,0.699140385491195,0.3040456558319243,0.1531084924285567,4.477547841087604,1.9639252063721857,0.8575565062706185,-0.0892939904217518,-0.0055792582868395,-0.0043952466221715,-0.0133439895978127,0.4575429087624209,0.0,-0.0506765720350225
2020,48.36563053131104,0.0718631709539989,0.3562030240678469,Industrials,AOS,FY,-0.0325458615965516,-0.0614042517150842,-0.0500931484164769,-0.0500931484164769,-0.0678378378378378,-0.0491071428571429,-0.045045045045045,-0.0236920009176645,-0.0246339505929237,0.0894850019172151,0.2321350284962735,0.2896886166411434,1.2064595980098112,0.2429739549340618,0.0267685382018674,4.111914704057091,0.7772714621469989,0.830145782885238,2.5044883452364965,0.3275887753413827,0.2362057147224498,1.3800386848959187,0.3954689734227931,0.1913153426494138,6.292300761172912,1.5488868563135758,0.7405054998276002,-0.0076335877862595,-0.0095709570957095,0.0335840418574231,0.1358006794363952,-0.5426092345832042,0.0,-0.0772778088317495
2021,65.5936143875122,0.3562030240678469,-0.2047134073773987,Industrials,AOS,FY,0.2222912996926052,0.1829092221620646,0.3726302026585312,0.3726302026585312,0.4122934183821397,0.4319248826291079,0.4245283018867924,-0.0100523065634336,-0.0078979965019219,0.0827174561843406,0.1405443871197295,0.1201266574312289,1.3716733203412044,0.4291067088900246,0.1673929724756468,11.519798277917095,0.5570166781246018,0.5018606722869919,0.826553287194322,0.618158840986182,0.1531692387357117,0.9343394863896268,0.3114763460340456,0.1221632897608381,6.03937660345886,1.191181883450413,0.374929691363436,0.0844444444444444,0.4918360546484505,0.0992501661024456,0.0013552225395757,0.483739837398374,0.0,0.0622444343480236
2022,52.16572208404541,-0.2047134073773987,,Industrials,AOS,FY,0.0607533414337788,0.0142650087725989,-0.6299412605175425,-0.6299412605175425,-0.5161157873126668,-0.4885245901639344,-0.5,-0.0545802501474077,-0.0343472933674358,0.1018810988597283,-0.3894868195289346,-0.4326855123674911,1.3668644853371972,0.4224098894513872,0.3727635826933195,2.328109651482359,0.3616202540962022,-0.0610514962234087,0.8160104658806684,-0.0973482748756703,-0.3028373816820213,0.7896243457804062,0.2036057092831197,0.1475183215025509,5.526214219337482,1.0764681410394814,0.2997838253573563,-0.083858764186633,0.1534509716327898,-0.0408991480543403,0.0089492850888247,0.6753424657534246,0.0,-0.0434844596521243
