years,value,prev_return,exp_return,Sector,Name,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
2018,176.98450429815995,0.0363144315962975,-0.1894661185587928,Industrials,MMM,FY,55.675446049277824,9.089209855564995,10.941376380628718,8.261682242990654,5.493627867459643,16.64570943075616,-4.859813084112149,16.64570943075616,25.44095157179269,112132790000.0,123901790000.0,20.96331837726678,3.42233450328094,17.414628047833514,23.06309954751132,11.44679358922009,11.44679358922009,3.7815287654509375,14.04145398912058,19.2423963348346,25.48370835047305,0.0477023714472813,0.0433593064080542,1.4926500612494895,0.4006027397260274,1.3337488667271078,1.89246272777471,20.591428571428573,1.2037764068050103,0.0284751677007234,0.5969340063563283,0.2320158705936212,0.0555775980466961,0.3481643835616438,-0.2449138064916912,-0.0481306271936517,-1.0598118279569892,0.0092171524492598,58.34524650513743,0.2254354946894448,0.2248234700739744,-29.55607476635514,6465000000.0,-2860000000.0,-12943000000.0,1.4926500612494895,5052500000.0,2105500000.0,4200000000.0,57.06989165267816,49.579786596331374,95.52751468648844,6.395666601600625,7.361871138570168,3.820888685295465,0.546039199673336,-2.6796941376380627
2019,143.4519372237356,-0.1894661185587928,0.0296632801817955,Industrials,MMM,FY,55.69497400346621,7.920277296360485,12.253032928942808,9.30849220103986,4.247833622183709,17.549393414211437,-16.805892547660314,17.549393414211437,36.40901213171577,101794340000.0,120001340000.0,22.274472647702407,3.167610779188449,14.398067892503535,18.95258611059393,10.05276910922378,10.05276910922378,3.734171645506597,20.181860073999328,16.97331541725601,22.34245764289704,0.0448944410858206,0.0527632479369678,2.0304167489630656,0.460377527486061,3.062058526740666,1.406527868141401,9.716517857142858,1.5429943256219991,0.0325754850417027,0.7256017505470459,0.2187266616878267,0.0594660194174757,0.4438746949103204,-0.2403111739745403,-0.0528690565098332,-1.066541117388575,0.0086507343788897,55.92326349586757,0.1128842915305973,0.184007086487357,-45.79159445407279,3749000000.0,-9697000000.0,-21562000000.0,2.0304167489630656,4957000000.0,2247000000.0,4250000000.0,54.41607542942494,47.45681605975724,88.05497198879551,6.707576706324359,7.691202872531418,4.145137880986938,0.4513134505234051,-2.9445407279029463
2020,147.70719223022462,0.0296632801817955,0.1544376603989825,Industrials,MMM,FY,55.7202216066482,9.321329639889196,14.046052631578949,11.447368421052632,8.72229916897507,22.38746537396122,-11.6101108033241,22.38746537396122,33.898891966759,100958704000.0,115375704000.0,18.751616641901933,3.13692219736515,12.44406557377049,15.269011494252874,7.807493929317144,7.807493929317144,3.5848777032065624,18.075466708444303,14.221090102304943,17.44944101633394,0.0533287352817048,0.065492124383847,1.4732812620833655,0.4023952348766475,2.258655804480652,1.885002516356316,8.453686200378073,1.5057535263548627,0.033558275470731,0.6292719167904903,0.2152933134476758,0.058351976137211,0.4147727272727273,-0.1850117096018735,-0.0466380810340541,-0.7854526425954997,0.008140691026597,68.52241423378703,0.1114748471150009,0.1943191251308333,-41.07816828254848,7034000000.0,-6706000000.0,-19431000000.0,1.4732812620833655,4748000000.0,2394500000.0,4186500000.0,53.3595886154611,56.29418849744053,93.17886178861788,6.8403825717322,6.483795392424834,3.917197452229299,0.4163637769700719,-2.598684210526316
2021,170.51874542236328,0.1544376603989825,-0.338100244860982,Industrials,MMM,FY,61.06217616580311,10.226252158894646,12.87392055267703,10.105354058721934,8.229706390328152,26.10880829015544,-6.316062176165803,26.10880829015544,31.28497409326425,102847770000.0,115909770000.0,17.37,2.909002121340688,13.79766165817011,17.577810630661425,6.803451081563802,6.803451081563802,3.2784548154433604,15.72937576333288,15.550009390931043,19.81024952999488,0.0575705238917674,0.0568899063149351,1.1659720844082822,0.3744476546566961,1.7725607273714208,1.704814609850581,11.17622950819672,1.257210322145387,0.0332530301823753,0.5776051342678602,0.2035638523546881,0.056399377740065,0.3988358259687287,-0.2150523209015293,-0.0453401216235327,-0.8370757180156658,0.0077499646443218,77.50737568596806,0.1357678291999001,0.2092374019365326,-36.61917098445596,6368000000.0,-3657000000.0,-16552000000.0,1.1659720844082822,4682500000.0,2777500000.0,4612000000.0,48.10917833404044,58.1436552274541,96.80899175312582,7.586909871244635,6.277555110220441,3.7703109327983952,0.3916782430376397,-2.768566493955095
2022,112.8663158416748,-0.338100244860982,,Industrials,MMM,FY,60.47526501766784,10.206713780918728,9.87809187279152,6.787985865724382,6.87809187279152,26.09540636042403,-4.803886925795053,26.09540636042403,29.43816254416961,67874720000.0,80419720000.0,11.7491293058681,1.9829594788045224,12.139996422822394,17.666507027589798,4.595444820582261,4.595444820582261,2.349461567676532,49.24661359461115,14.38378107673046,20.93173347214992,0.0851126899676344,0.0566042850710839,1.0968178740690588,0.3487245721666128,7.682180036742192,1.5423711015436312,-0.4285714285714285,0.965463650492143,0.0496355638741493,0.5831746581270556,0.2571211545765287,0.0543983172163954,0.3764718544828328,-0.3128241817206224,-0.0510970229921996,-0.955215729109776,0.0076835431943673,77.41342088841132,-0.0057328472732698,0.1994407236069875,-38.351590106007066,5165000000.0,-2719000000.0,-16997000000.0,1.0968178740690588,4596000000.0,3088500000.0,5178500000.0,48.32685734318852,60.40947379367721,101.95403494176372,7.552736098852604,6.042098649073202,3.580044676098288,0.3911306702775897,-3.090106007067138
2018,53.09881953189248,0.0128097185649356,-0.1502079988277892,Industrials,AOS,FY,18.95763648850076,2.641545258067078,2.669494971513533,2.1628320809522656,3.835652164460301,10.210565529268738,5.416892335824632,10.210565529268738,1.3665625851053909,7180395619.6,7142095619.6,16.16478077352544,2.252390482637473,15.995534906660728,19.742632993126204,4.181942702154921,4.181942702154921,2.240376304024593,11.192752890769473,15.910215236355535,19.63732642177619,0.0618628866057863,0.0506518051745261,0.1289458357600466,0.0720820446036138,-0.0600219401347751,2.0864637718069527,65.67857142857143,1.0105808194506978,0.0181187788100243,0.2928860873480414,0.0,0.0,0.2624450594172228,-0.1897972822454889,-0.0267260579064587,-1.1849791376912375,0.0031682298691928,24.634581313887143,0.2266520372840237,0.1960801624437185,-0.4262331300584372,853200000.0,910900000.0,284000000.0,0.1289458357600466,622850000.0,539400000.0,297950000.0,74.11289563662599,105.44358266043348,59.081757331066726,4.924918893866831,3.4615667524825304,6.177879881851001,0.2587070471753058,-0.5066628905612676
2019,45.12295210988898,-0.1502079988277892,0.0718631709539989,Industrials,AOS,FY,18.088195969208687,2.236319212953926,2.7573211485123816,2.368080723338779,3.332720037899445,10.07431584905839,4.72890851950041,10.07431584905839,2.016918165845204,7882059009.24,7830759009.24,21.302862187135137,2.6337618235172253,17.27763921359053,20.117557450842263,4.728857096976242,4.728857096976242,2.616620112019247,13.9486266641254,17.165188534064008,19.986623300765697,0.0469420489704854,0.0497078237476653,0.1936045116390689,0.1055264879005886,-0.0913786961168507,1.9574690150032616,43.91818181818182,1.232972972972973,0.0189290640713416,0.4032432432432432,0.0,0.0,0.2892086330935252,-0.1411661551950898,-0.0215190296387877,-0.822477650063857,0.0044441474254018,22.51468825098072,0.1866783625191096,0.1702245123297754,-1.4879077898619806,733900000.0,782400000.0,109200000.0,0.1936045116390689,618400000.0,526700000.0,303850000.0,71.89745046279279,102.65121412803532,61.034768211920536,5.076675148430874,3.5557299843014127,5.98019801980198,0.2219822414206863,-0.3892404251736023
2020,48.36563053131104,0.0718631709539989,0.3562030240678469,Industrials,AOS,FY,17.924159243918808,2.1351992965245734,3.479836255658053,3.128200071133276,4.269160437469834,11.442414786217364,6.052104471679974,11.442414786217364,0.9589514961776064,8855106888.98,8429606888.98,25.67441835018846,3.0584419193106065,15.753614817612526,17.524454559627944,4.790946755927068,4.790946755927068,2.9114796010707007,15.642246964149193,14.99663207432841,16.682380544191567,0.0389492757483504,0.0570631169488011,0.0798571660444733,0.0466985161514854,-0.7895713490443496,1.825566963782015,62.86301369863013,1.6297477529718758,0.0179218615867301,0.4601333719918817,0.0,0.0,0.2754769513082545,-0.1010496352962106,-0.0196180015887818,-0.71,0.0043864193693226,23.44602972886152,0.1756167324772876,0.1506113537117903,-0.2104864484831415,731700000.0,977600000.0,305600000.0,0.0798571660444733,587250000.0,552400000.0,301550000.0,73.74883431768728,121.564545912372,61.29287672765934,4.949230769230769,3.0025201612903225,5.955014995001666,0.1866039062922685,-0.3516361845247775
2021,65.5936143875122,0.3562030240678469,-0.2047134073773987,Industrials,AOS,FY,22.131011611423688,3.0461487343311417,4.009209512584059,3.539561042150331,3.94854919083696,11.45792180464282,5.250557333903565,11.45792180464282,1.3964381284667295,13728001698.9,13503701698.9,28.183128102853622,3.87917197403148,21.413198719232568,24.25441996272085,7.492632736000436,7.492632736000436,3.815790697363588,19.07841438103984,21.06333130385276,23.85813021007067,0.035482221716146,0.0412295986272607,0.1195284357602881,0.0630324660373014,-0.3168974286521616,1.5664998212370398,146.48837209302326,1.3161568466433995,0.0123907327323269,0.3492096078833915,0.0,0.0,0.2856896154731752,-0.1171424114802682,-0.0212212834496594,-0.9640564826700898,0.0033626268049393,28.023329835580803,0.2365314848745927,0.196268837134338,-1.945820526970098,633800000.0,839600000.0,110400000.0,0.1195284357602881,609700000.0,670550000.0,373900000.0,65.43163129786092,122.1963644524237,73.34403052064631,5.578341740226986,2.9869955758144524,4.976546794728613,0.2658552559764218,-0.4696484704337277
2022,52.16572208404541,-0.2047134073773987,,Industrials,AOS,FY,24.83081670314978,1.5590781578977604,2.588982566827253,2.123971134921387,3.186948903161396,11.56046201339803,5.160105519626826,11.56046201339803,2.489101021709492,8653490481.960001,8629190481.960001,36.71400289333899,2.305200053800048,22.10907123648441,26.949518785300533,4.951359204646106,4.951359204646106,2.2987267859985616,27.83609832890323,22.046986412774658,26.873841426222363,0.027237563904573,0.0371064139573966,0.2099330548721176,0.1101041322810071,-0.0783870967741935,1.748769000214087,24.79787234042553,1.6605854900296988,0.0204772860580837,0.7518031395842172,0.0,0.0,0.2903700147045584,-0.1796116504854369,-0.0187271903886624,-0.9141742522756828,0.0029569247982098,20.137835930324087,0.1149294556663791,0.099674377299446,-2.7034163900416406,699500000.0,780100000.0,49100000.0,0.2099330548721176,607800000.0,685850000.0,482050000.0,56.51136151735528,94.21977478034896,77.74862847007384,6.458878183069511,3.87392138063279,4.6946165762974434,0.1348629627510442,-0.4650114319058657
