years,value,prev_return,exp_return,Sector,Name,period,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
2018,176.98450429815995,0.0363144315962975,-0.1894661185587928,Industrials,MMM,FY,1.89246272777471,1.153506350082827,0.3938431805632247,57.06989165267816,95.52751468648844,152.59740633916658,49.579786596331374,103.0176197428352,0.4908591484816115,0.2199603235159468,0.2136426064397985,0.1632534716923546,0.2338571428571428,0.1465479452054794,0.546039199673336,0.2463426305715067,0.7641428571428571,0.971277924240322,0.2199603235159468,0.4006027397260274,1.4926500612494895,0.5778859826776404,0.5988205422229503,20.591428571428573,0.4403638353166461,3.726010616578195,6.395666601600625,7.361871138570168,3.820888685295465,3.749713893339437,0.8976712328767124,10.941376380628718,8.261682242990654,5.493627867459643,0.5969340063563283,0.1965206775522661,0.7550861935083087,0.4403638353166461,5.317093311312965,-4.083069118579582,3.984529702970297,0.5969340063563283,11.44679358922009,11.44679358922009,3.42233450328094,20.96331837726678,23.06309954751132,17.414628047833514,17.414628047833514,1.7753310250747825,3.42233450328094,0.0284751677007234,14.04145398912058,11.44679358922009
2019,143.4519372237356,-0.1894661185587928,0.0296632801817955,Industrials,MMM,FY,1.406527868141401,0.7852960312296682,0.2551507265235307,54.41607542942494,88.05497198879551,142.47104741822045,47.45681605975724,95.0142313584632,0.4667662434652725,0.1354555638536221,0.1777445855115758,0.1422081155090863,0.197829131652661,0.1023309971114445,0.4513134505234051,0.1228377119959364,0.8000700280112045,1.3121984838042728,0.1354555638536221,0.460377527486061,2.0304167489630656,0.6336998987121979,0.6700123834973604,9.716517857142858,0.3438715953307393,4.410329843966028,6.707576706324359,7.691202872531418,4.145137880986938,3.153370621136297,0.7195861976309367,12.253032928942808,9.30849220103986,4.247833622183709,0.7256017505470459,0.2200024894199651,0.7596888260254597,0.3438715953307393,2.324128862590401,-4.161271336080048,4.372294372294372,0.725601750547046,10.05276910922378,10.05276910922378,3.167610779188449,22.274472647702407,18.95258611059393,14.398067892503535,14.398067892503535,-1.730555182629187,3.167610779188449,0.0325754850417027,20.181860073999328,10.05276910922378
2020,147.70719223022462,0.0296632801817955,0.1544376603989825,Industrials,MMM,FY,1.885002516356316,1.2258429793658785,0.5830397584297936,53.3595886154611,93.17886178861788,146.538450404079,56.29418849744053,90.24426190663846,0.4840604026845637,0.1389510315684812,0.2085197613721103,0.1672880934625901,0.196393980032782,0.1137208516390672,0.4163637769700719,0.1135140623413544,0.8022649381612278,1.50067084078712,0.1389510315684812,0.4023952348766475,1.4732812620833655,0.5817917205692109,0.5956788193358764,8.453686200378073,0.4258569103984043,3.661279096744258,6.8403825717322,6.483795392424834,3.917197452229299,3.129217306757414,0.679790469753295,14.046052631578949,11.447368421052632,8.72229916897507,0.6292719167904903,0.2520817797663435,0.8149882903981265,0.4258569103984043,7.639359698681733,-5.405063291139241,4.299417064122946,0.6292719167904903,7.807493929317144,7.807493929317144,3.13692219736515,18.751616641901933,15.269011494252874,12.44406557377049,12.44406557377049,1.0608057414561662,3.13692219736515,0.033558275470731,18.075466708444303,7.807493929317144
2021,170.51874542236328,0.1544376603989825,-0.338100244860982,Industrials,MMM,FY,1.704814609850581,1.0431654676258992,0.5051466519092418,48.10917833404044,96.80899175312582,144.91817008716626,58.1436552274541,86.77451485971216,0.4683920237590157,0.1542638947815019,0.2037618441521708,0.1674727761278461,0.1783731260410883,0.1257860299116247,0.3916782430376397,0.1433867024213266,0.8219044975013882,1.320865419875321,0.1542638947815019,0.3744476546566961,1.1659720844082822,0.5150611105764604,0.53831353266347,11.17622950819672,0.4228979916033132,3.1138453396838,7.586909871244635,6.277555110220441,3.7703109327983952,3.436862058909303,0.7510834466349422,12.87392055267703,10.105354058721934,8.229706390328152,0.5776051342678602,0.2108329797765521,0.7849476790984706,0.4228979916033132,4.747770700636942,-4.650031191515907,4.102366538249862,0.5776051342678602,6.803451081563802,6.803451081563802,2.909002121340688,17.37,17.577810630661425,13.79766165817011,13.79766165817011,1.7789934065934063,2.909002121340688,0.0332530301823753,15.72937576333288,6.803451081563802
2022,112.8663158416748,-0.338100244860982,,Industrials,MMM,FY,1.5423711015436312,0.884700199516959,0.3838076236480101,48.32685734318852,101.95403494176372,150.28089228495224,60.40947379367721,89.87141849127504,0.4381372520377458,-0.0057845686406263,0.1867422361155745,0.1687750153378714,0.0957446808510638,0.1243569045312668,0.3911306702775897,-0.0053612043756092,0.9037859824780976,-32.282828282828284,-0.0057845686406263,0.3487245721666128,1.0968178740690588,0.4866358485975461,0.5230868582499193,-0.4285714285714285,0.3451234567901234,3.1452268111035884,7.552736098852604,6.042098649073202,3.580044676098288,3.4205056460477667,0.7368205790549994,9.87809187279152,6.787985865724382,6.87809187279152,0.5831746581270556,0.1633410266148587,0.6871758182793776,0.3451234567901234,2.542519326966803,-3.1966838193253286,3.4512345679012344,0.5831746581270556,4.595444820582261,4.595444820582261,1.9829594788045224,11.7491293058681,17.666507027589798,12.139996422822394,12.139996422822394,-60.096796399516606,1.9829594788045224,0.0496355638741493,49.24661359461115,4.595444820582261
2018,53.09881953189248,0.0128097185649356,-0.1502079988277892,Industrials,AOS,FY,2.0864637718069527,1.6456131414745956,0.3307016426843244,74.11289563662599,59.081757331066726,133.19465296769272,105.44358266043348,27.751070307259223,0.4095172370526052,0.1730606355280906,0.1749741208946328,0.1393393770193544,0.2036572248117605,0.1446198925606381,0.2587070471753058,0.241317470037617,0.7963427751882395,1.0110567337321008,0.1730606355280906,0.0720820446036138,0.1289458357600466,0.1142179116797358,0.1142179116797358,65.67857142857143,2.0275519421860886,1.7888759464181712,4.924918893866831,3.4615667524825304,6.177879881851001,5.903518518518519,1.037896793097835,2.669494971513533,2.1628320809522656,3.835652164460301,0.2928860873480414,0.1408137018099689,0.810202717754511,2.0275519421860886,0.0,-5.268779342723005,9.997772828507795,0.2928860873480414,4.181942702154921,4.181942702154921,2.252390482637473,16.16478077352544,19.742632993126204,15.995534906660728,15.995534906660728,0.3053633297530814,2.252390482637473,0.0181187788100243,11.192752890769473,4.181942702154921
2019,45.12295210988898,-0.1502079988277892,0.0718631709539989,Industrials,AOS,FY,1.9574690150032616,1.488454011741683,0.4879321591650358,71.89745046279279,61.034768211920536,132.93221867471334,102.65121412803532,30.281004546678005,0.3945266815918735,0.1614261369332041,0.1577505262806161,0.1236341764961406,0.2162677398856174,0.1209941137998692,0.2219822414206863,0.210822605280384,0.7837322601143826,0.9772303870834196,0.1614261369332041,0.1055264879005886,0.1936045116390689,0.159328188833409,0.1622015581804473,43.91818181818182,1.41369693213511,1.8346532277417809,5.076675148430874,3.5557299843014127,5.98019801980198,5.052676008779335,0.9786461739699148,2.7573211485123816,2.368080723338779,3.332720037899445,0.4032432432432432,0.1524375981555117,0.8588338448049101,1.41369693213511,67.08823529411765,-7.083850931677019,5.379716981132075,0.4032432432432433,4.728857096976242,4.728857096976242,2.6337618235172253,21.302862187135137,20.117557450842263,17.27763921359053,17.27763921359053,-1.4013988244434854,2.6337618235172253,0.0189290640713416,13.9486266641254,4.728857096976242
2020,48.36563053131104,0.0718631709539989,0.3562030240678469,Industrials,AOS,FY,1.825566963782015,1.4381135055850165,0.6466207830305766,73.74883431768728,61.29287672765934,135.04171104534663,121.564545912372,13.477165132974632,0.3827582633923945,0.1584982557938728,0.1533174455151452,0.1191240976755431,0.2230232034241946,0.1091213971588572,0.1866039062922685,0.2017674991206472,0.7769767965758053,0.9673131401176728,0.1584982557938728,0.0466985161514854,0.0798571660444733,0.0707857825147051,0.0739516007816022,62.86301369863013,3.808265582655826,1.710057891035005,4.949230769230769,3.0025201612903225,5.955014995001666,4.967061245496654,0.9160312588983454,3.479836255658053,3.128200071133276,4.269160437469834,0.4601333719918817,0.1941422305115186,0.8989503647037893,3.808265582655826,82.66176470588235,-9.89612676056338,5.516192345436703,0.4601333719918817,4.790946755927068,4.790946755927068,3.0584419193106065,25.67441835018846,17.524454559627944,15.753614817612526,15.753614817612526,-5.22824519131109,3.0584419193106065,0.0179218615867301,15.642246964149193,4.790946755927068
2021,65.5936143875122,0.3562030240678469,-0.2047134073773987,Industrials,AOS,FY,1.5664998212370398,1.1313907758312478,0.3962281015373614,65.43163129786092,73.34403052064631,138.77566181850722,122.1963644524237,16.579297366083523,0.3704258385373986,0.1779931617169176,0.1767780948882421,0.137641640057645,0.2213874680306905,0.1401968685240617,0.2658552559764218,0.2674053319748684,0.7786125319693095,0.9931735196062867,0.1779931617169176,0.0630324660373014,0.1195284357602881,0.1037957346898845,0.1067667706708268,146.48837209302326,2.9273972602739726,1.896299530618928,5.578341740226986,2.9869955758144524,4.976546794728613,5.53645181476846,1.0185643564356437,4.009209512584059,3.539561042150331,3.94854919083696,0.3492096078833915,0.1811579869450959,0.8828575885197317,2.9273972602739726,94.27941176470588,-8.536617842876165,6.748421052631579,0.3492096078833915,7.492632736000436,7.492632736000436,3.87917197403148,28.183128102853622,24.25441996272085,21.413198719232568,21.413198719232568,0.6525006832508502,3.87917197403148,0.0123907327323269,19.07841438103984,7.492632736000436
2022,52.16572208404541,-0.2047134073773987,,Industrials,AOS,FY,1.748769000214087,1.137871976022265,0.4187540141297367,56.51136151735528,77.74862847007384,134.25998998742912,94.21977478034896,40.04021520708015,0.3541916406936786,0.062095420762407,0.0595913583206798,0.062788033778204,-0.0536432722396066,0.0707319268973381,0.1348629627510442,0.0972019515449731,1.0536432722396063,0.9596739596739596,0.062095420762407,0.1101041322810071,0.2099330548721176,0.1695809179891665,0.173507992055235,24.79787234042553,1.0667756881984192,1.9066773473708305,6.458878183069511,3.87392138063279,4.6946165762974434,6.049798549556809,1.126519220958497,2.588982566827253,2.123971134921387,3.186948903161396,0.7518031395842172,0.1042648978395801,0.8203883495145631,1.0667756881984192,39.14,-5.567567567567568,3.6613657623947615,0.7518031395842172,4.951359204646106,4.951359204646106,2.305200053800048,36.71400289333899,26.949518785300533,22.10907123648441,22.10907123648441,-0.7515282471455298,2.305200053800048,0.0204772860580837,27.83609832890323,4.951359204646106
